"CAMBIO","MONEDA","CODCLIENTE","NOMBRECLIENTE","CODSUCURSAL","NOMBRESUCURSALCLIENTE","TIMBRADO","FECHA","DEPOSITO","NUMERO","SALDO","SUCURSAL"
"1","Gs ","21202      ","LA FAMILIA S.A.                                   ","05        "," LA FAMILIA S.A. - Cambyreta                      ","13760886   ","3/1/2020","CATEGORIA 2                   ","001-001-0055247","-352284","001 CASA MATRIZ                                   "
"1","Gs ","07630      ","SUPER TOB S.R.L                                   ","","","13760886   ","2/3/2020","CATEGORIA 2                   ","001-001-0056553","-666785","001 CASA MATRIZ                                   "
"1","Gs ","21202      ","LA FAMILIA S.A.                                   ","04        "," LA FAMILIA S.A. - Ruta 1  (Barato 2)             ","13894512   ","22/6/2020","DEPOSITO ENCARNACION          ","008-001-0000191","-4256","008 001 SUCURSAL ENCARNACION                      "
"1","Gs ","213        ","ARCO IRIS  S.A.                                   ","01        "," ARCO IRIS S.A. -  Centro                         ","13760886   ","2/4/2020","CATEGORIA 2                   ","001-001-0057376","-32920","001 CASA MATRIZ                                   "
"1","Gs ","01415      ","FAMILY GROUP S.R.L. (SUPER AYALA)                 ","","","13760886   ","1/4/2020","CATEGORIA 2                   ","001-001-0057252","-350118","001 CASA MATRIZ                                   "
"1","Gs ","03003      ","COOP. COLONIAS UNIDAS                             ","","","13894512   ","25/6/2020","DEPOSITO ENCARNACION          ","008-001-0000205","-21492","008 001 SUCURSAL ENCARNACION                      "
"1","Gs ","21202      ","LA FAMILIA S.A.                                   ","06        "," LA FAMILIA S.A. - San Pedro                      ","13894512   ","22/5/2020","CATEG 2 ENCARNACION           ","008-001-0000120","-5100","008 001 SUCURSAL ENCARNACION                      "
"1","Gs ","123        ","COOP. COL. MULT. FERNHEIM LTDA.                   ","01        "," COOP.COL.MULT. FERNHEIM LTDA. - M.R.A.           ","14149579   ","3/9/2020","DEPOSITO CENTRAL CM           ","001-001-0060985","-33216","001 CASA MATRIZ                                   "
"1","Gs ","116        ","DIAZ E HIJOS S.A - Luisito                        ","07        ","DIAZ E HIJOS S.A.-Ñemby                           ","14149579   ","3/8/2020","CATEGORIA 2                   ","001-001-0060071","-333565","001 CASA MATRIZ                                   "
"1","Gs ","116        ","DIAZ E HIJOS S.A - Luisito                        ","07        ","DIAZ E HIJOS S.A.-Ñemby                           ","14149579   ","3/8/2020","CATEGORIA 2                   ","001-001-0060072","-332678","001 CASA MATRIZ                                   "
